Epoch: 47, Train Loss: 31.5392, Val Loss: 27.4224, In domain: golovnie-boli.com, Out domain: golove-n-bibo.com, In domain validation: isbnmillion.com, Out domain validation: bsiililhihi.com
Epoch: 48, Train Loss: 31.6653, Val Loss: 27.4579, In domain: carclub365.com, Out domain: alurub3b5.com, In domain validation: ridewill.it, Out domain validation: rirglgll.it
Epoch: 49, Train Loss: 31.6356, Val Loss: 27.4880, In domain: hannover-airport.de, Out domain: hahvevoa-r-oport.de, In domain validation: e4e.org, Out domain validation: ebe.org
Epoch: 50, Train Loss: 31.6465, Val Loss: 27.6146, In domain: site-directory.ir, Out domain: si-e-ririctcty.ir, In domain validation: game-game.com.ua, Out domain validation: mamaamage.com.ua
Epoch: 51, Train Loss: 31.6200, Val Loss: 27.5203, In domain: frontizw.gr, Out domain: rfrontitw.wr, In domain validation: nedraexpert.ru, Out domain validation: neaearxperr.ru
Epoch: 52, Train Loss: 31.5693, Val Loss: 27.4955, In domain: datefinder.com, Out domain: datitinrnr.com, In domain validation: japaneseporn18.com, Out domain validation: anenesesern18.com
Epoch: 53, Train Loss: 31.5028, Val Loss: 27.4863, In domain: monline2.tk, Out domain: mnmnenet.tk, In domain validation: himik.pro, Out domain validation: hiifi.opo
Epoch: 54, Train Loss: 31.5489, Val Loss: 27.5518, In domain: fastenal.com, Out domain: sastelal.com, In domain validation: nametestscript.com, Out domain validation: nametebtscriri.com
Epoch: 55, Train Loss: 31.4896, Val Loss: 27.4577, In domain: emetechnologies.com, Out domain: methehnonoeies.com, In domain validation: instaff.jobs, Out domain validation: ininafa.jors
Epoch: 56, Train Loss: 31.4443, Val Loss: 27.4757, In domain: memoirehornbill.com, Out domain: emrioirohobili.com, In domain validation: looyoung.com, Out domain validation: lolooumg.com
Epoch: 57, Train Loss: 31.5486, Val Loss: 27.4361, In domain: raktarkiarusitas.hu, Out domain: rarraraiuiutatah.hu, In domain validation: katsaylidi.ru, Out domain validation: ksasaydili.ru
Epoch: 58, Train Loss: 31.6813, Val Loss: 27.4657, In domain: pobierz-pc-gry.pl, Out domain: pboe-z-zercry.pl, In domain validation: jepang18.com, Out domain validation: pejeng18.com
Epoch: 59, Train Loss: 31.7324, Val Loss: 27.5843, In domain: countymusic.co.uk, Out domain: bououusysic.co.uk, In domain validation: phantomjs.org, Out domain validation: phanajojs.org
Epoch: 60, Train Loss: 31.5262, Val Loss: 27.4098, In domain: animeforall.net, Out domain: inadeoerara.net, In domain validation: unza.zm, Out domain validation: unua.zm
